external_id,name,cohort_external_id,full_address,timezone,platform,new_url,city
8978,City Hall Bistro,4,"1321 Commerce St, Dallas, TX 75202, USA",America/Chicago,resy,https://resy.com/cities/dfw/city-hall-bistro,new_york_city
8979,Doc B’s Restaurant + Bar - Dallas,4,"2021 McKinney Ave, Dallas, TX 75201, USA",America/Chicago,opentable,https://www.opentable.com/restaurant/profile/1011517/reserve,dallas
8980,Cru Food & Wine Bar - West Village,4,"Suite A-221, 3699 McKinney Ave, Dallas, TX 75204, USA",America/Chicago,opentable,https://www.opentable.com/restaurant/profile/170857/reserve,new_york_city
8981,Dahlia Bar and Bistro,5,"3300 Ross Ave, Dallas, TX 75204, USA",America/Chicago,opentable,https://www.opentable.com/restaurant/profile/1083877/reserve,dallas
8982,Eddie V’s Prime Seafood,4,"4023 Oak Lawn Ave, Dallas, TX 75219, USA",America/Chicago,opentable,https://www.opentable.com/restaurant/profile/43690/reserve,dallas
8983,El Bolero,4,"1201 Oak Lawn Ave, Dallas, TX 75207, USA",America/Chicago,opentable,https://www.opentable.com/restaurant/profile/170464/reserve,dallas
8984,El Ranchito,4,"610 W Jefferson Blvd, Dallas, TX 75208, USA",America/Chicago,opentable,https://www.opentable.com/restaurant/profile/15274/reserve,new_york_city
8985,Fachini,4,"33 Highland Park Village, Dallas, TX 75205, USA",America/Chicago,opentable,https://www.opentable.com/restaurant/profile/1008991/reserve,new_york_city
8987,Old Homestead Steakhouse,5,"56 9th Ave, New York, NY 10011, USA",America/New_York,opentable,https://www.opentable.com/restaurant/profile/7865/reserve,new_york_city
8988,Dragonfly,4,"2332 Leonard St, Dallas, TX 75201, USA",America/Chicago,opentable,https://www.opentable.com/restaurant/profile/2191/reserve,dallas
8989,Elm and Good,5,"2551 Elm St, Dallas, TX 75226, USA",America/Chicago,opentable,https://www.opentable.com/restaurant/profile/1073986/reserve,dallas
8991,Homewood,5,"4002 Oak Lawn Ave, Dallas, TX 75219, USA",America/Chicago,resy,https://resy.com/cities/dfw/homewood,dallas
8992,il Bracco Restaurant,4,"8416 Preston Center Plaza, Dallas, TX 75225, USA",America/Chicago,resy,https://resy.com/cities/dfw/il-bracco-restaurant,dallas
8993,Jaxon Beer Garden,4,"311 S Akard St, Dallas, TX 75202, USA",America/Chicago,resy,https://resy.com/cities/dfw/jaxon-texas-kitchen-and-beer-garden,dallas
8994,Jia Modern Chinese & Asian Lounge,4,"8411 Preston Rd, Dallas, TX 75225, USA",America/Chicago,opentable,https://www.opentable.com/restaurant/profile/1051963/reserve,dallas
8996,Buca di Beppo - Park Lane,4,"7843 Park Ln, Dallas, TX 75225, USA",America/Chicago,opentable,https://www.opentable.com/restaurant/profile/53425/reserve,dallas
8997,Cafe Pacific,4,"24 Highland Park Village, Dallas, TX 75205, USA",America/Chicago,opentable,https://www.opentable.com/restaurant/profile/66694/reserve,dallas
8999,Corrientes 348 Argentinian Steakhouse,4,"1807 Ross Ave, Dallas, TX 75201, USA",America/Chicago,opentable,https://www.opentable.com/restaurant/profile/350752/reserve,dallas
9000,Del Frisco’s Grille - McKinney Ave - Uptown,4,"3232 McKinney Ave Suite 175, Dallas, TX 75204, USA",America/Chicago,opentable,https://www.opentable.com/restaurant/profile/75061/reserve,new_york_city
9001,Delucca Pizza & Wine - Dallas,4,"1628 Oak Lawn Ave Ste 100, Dallas, TX 75207, USA",America/Chicago,opentable,https://www.opentable.com/restaurant/profile/1021849/reserve,dallas
9002,Dock Local,5,"3839 McKinney Ave #150, Dallas, TX 75204, USA",America/Chicago,opentable,https://www.opentable.com/restaurant/profile/1074133/reserve,dallas
9003,Dunston’s Steak House - Lovers Lane,4,"5423 W Lovers Ln, Dallas, TX 75209, USA",America/Chicago,yelp,https://www.yelp.com/reservations/dunstons-steak-house-dallas,dallas
9005,Ellie’s Dallas,4,"1717 Leonard St, Dallas, TX 75201, USA",America/Chicago,resy,https://resy.com/cities/dfw/ellies-dallas,dallas
9006,Encina,4,"614 W Davis St, Dallas, TX 75208, USA",America/Chicago,opentable,https://www.opentable.com/restaurant/profile/1082074/reserve,new_york_city
9007,Enrique Tomas - Dallas,5,"2822 N Henderson Ave, Dallas, TX 75206, USA",America/Chicago,opentable,https://www.opentable.com/restaurant/profile/1069297/reserve,dallas
9008,Fearing’s,4,"2121 McKinney Ave, Dallas, TX 75201, USA",America/Chicago,opentable,https://www.opentable.com/restaurant/profile/14941/reserve,dallas
9009,Georgie,4,"4514 Travis St Suite 132, Dallas, TX 75205, USA",America/Chicago,opentable,https://www.opentable.com/restaurant/profile/1048966/reserve,dallas
9011,Jose - Dallas,5,"4931 W Lovers Ln, Dallas, TX 75209, USA",America/Chicago,opentable,https://www.opentable.com/restaurant/profile/370975/reserve,new_york_city
9012,Krio,4,"233 W 7th St #100, Dallas, TX 75208, USA",America/Chicago,opentable,https://www.opentable.com/restaurant/profile/1158139/reserve,dallas
9013,MANPUKU Japanese Yakiniku Grill,4,"2023 Greenville Ave, Dallas, TX 75206, USA",America/Chicago,opentable,https://www.opentable.com/restaurant/profile/1186414/reserve,dallas
9014,Local,4,"2936 Elm St # A, Dallas, TX 75226, USA",America/Chicago,opentable,https://www.opentable.com/restaurant/profile/6539/reserve,new_york_city
9015,Morton’s The Steakhouse - Dallas,4,"2222 McKinney Ave Suite 200, Dallas, TX 75201, USA",America/Chicago,opentable,https://www.opentable.com/restaurant/profile/3105/reserve,dallas
9016,Muchacho Tex Mex,4,"4011 Villanova St, Dallas, TX 75225, USA",America/Chicago,resy,https://resy.com/cities/dfw/muchacho-tex-mex,dallas
9018,Ocean Prime - Dallas,4,"2101 Cedar Springs Rd #150, Dallas, TX 75201, USA",America/Chicago,opentable,https://www.opentable.com/restaurant/profile/34564/reserve,dallas
9019,Origin Kitchen + Bar,4,"4438 McKinney Ave #150, Dallas, TX 75205, USA",America/Chicago,opentable,https://www.opentable.com/restaurant/profile/138979/reserve,dallas
9021,Perry’s Steakhouse & Grille - Park District,4,"2100 Olive St Suite #100, Dallas, TX 75201, USA",America/Chicago,opentable,https://www.opentable.com/restaurant/profile/42916/reserve,dallas
9023,Public School - Dallas,4,"3700 McKinney Ave #148, Dallas, TX 75204, USA",America/Chicago,opentable,https://www.opentable.com/restaurant/profile/993034/reserve,dallas
